Category: All categories

Week,covid: (Worldwide)
2022-02-13,100
2022-02-20,86
2022-02-27,83
2022-03-06,73
2022-03-13,75
2022-03-20,73
2022-03-27,72
2022-04-03,63
2022-04-10,60
2022-04-17,61
2022-04-24,56
2022-05-01,52
2022-05-08,52
2022-05-15,55
2022-05-22,48
2022-05-29,49
2022-06-05,48
2022-06-12,51
2022-06-19,54
2022-06-26,61
2022-07-03,63
2022-07-10,65
2022-07-17,64
2022-07-24,53
2022-07-31,47
2022-08-07,41
2022-08-14,37
2022-08-21,34
2022-08-28,34
2022-09-04,31
2022-09-11,33
2022-09-18,33
2022-09-25,30
2022-10-02,30
2022-10-09,31
2022-10-16,31
2022-10-23,28
2022-10-30,26
2022-11-06,27
2022-11-13,28
2022-11-20,28
2022-11-27,30
2022-12-04,30
2022-12-11,31
2022-12-18,37
2022-12-25,35
2023-01-01,30
2023-01-08,24
2023-01-15,20
2023-01-22,18
2023-01-29,18
