Category: All categories

Week,Irvine: (United States)
2022-02-13,84
2022-02-20,85
2022-02-27,91
2022-03-06,89
2022-03-13,97
2022-03-20,93
2022-03-27,92
2022-04-03,100
2022-04-10,96
2022-04-17,91
2022-04-24,89
2022-05-01,87
2022-05-08,88
2022-05-15,88
2022-05-22,92
2022-05-29,85
2022-06-05,83
2022-06-12,88
2022-06-19,91
2022-06-26,88
2022-07-03,80
2022-07-10,97
2022-07-17,90
2022-07-24,93
2022-07-31,98
2022-08-07,93
2022-08-14,94
2022-08-21,90
2022-08-28,89
2022-09-04,93
2022-09-11,80
2022-09-18,78
2022-09-25,82
2022-10-02,84
2022-10-09,82
2022-10-16,78
2022-10-23,81
2022-10-30,73
2022-11-06,77
2022-11-13,71
2022-11-20,66
2022-11-27,79
2022-12-04,71
2022-12-11,76
2022-12-18,69
2022-12-25,79
2023-01-01,87
2023-01-08,80
2023-01-15,81
2023-01-22,73
2023-01-29,77
2023-02-05,82
