Category: All categories

Week,Fortnite: (Worldwide)
2022-02-13,78
2022-02-20,70
2022-02-27,62
2022-03-06,58
2022-03-13,75
2022-03-20,100
2022-03-27,68
2022-04-03,70
2022-04-10,64
2022-04-17,63
2022-04-24,55
2022-05-01,64
2022-05-08,54
2022-05-15,59
2022-05-22,57
2022-05-29,75
2022-06-05,99
2022-06-12,66
2022-06-19,69
2022-06-26,59
2022-07-03,64
2022-07-10,56
2022-07-17,61
2022-07-24,55
2022-07-31,52
2022-08-07,53
2022-08-14,73
2022-08-21,62
2022-08-28,57
2022-09-04,52
2022-09-11,53
2022-09-18,72
2022-09-25,51
2022-10-02,53
2022-10-09,45
2022-10-16,45
2022-10-23,44
2022-10-30,46
2022-11-06,40
2022-11-13,43
2022-11-20,41
2022-11-27,60
2022-12-04,85
2022-12-11,77
2022-12-18,73
2022-12-25,73
2023-01-01,63
2023-01-08,54
2023-01-15,55
2023-01-22,55
2023-01-29,54
